userid,year,month,day,weeknumber,schooldays,holidayname,attendance1,attendance2,attendance3,attendance4,attendance5,ontime,offtime
0K01005,2017,4,1,6,0,,9,9,9,9,9,,
0K01007,2017,4,2,0,0,,,,,,,,
,2017,4,3,1,0,,,,,,,,
,2017,4,4,2,0,,,,,,,,
,2017,4,5,3,0,,,,,,,,
,2017,4,6,4,0,,,,,,,,
,2017,4,7,5,0,,,,,,,,
,2017,4,8,6,0,,,,,,,,
,2017,4,9,0,0,,,,,,,,
,2017,4,10,1,0,,,,,,,,
,2017,4,11,2,0,,,,,,,,
,2017,4,12,3,0,,,,,,,,
,2017,4,13,4,0,,,,,,,,
,2017,4,14,5,0,,,,,,,,
,2017,4,15,6,0,,,,,,,,
,2017,4,16,0,0,,,,,,,,
,2017,4,17,1,0,,,,,,,,
,2017,4,18,2,0,,,,,,,,
,2017,4,19,3,0,,,,,,,,
,2017,4,20,4,0,,,,,,,,
,2017,4,21,5,0,,,,,,,,
,2017,4,22,6,0,,,,,,,,
,2017,4,23,0,0,,,,,,,,
,2017,4,24,1,0,,,,,,,,
,2017,4,25,2,0,,,,,,,,
,2017,4,26,3,0,,,,,,,,
,2017,4,27,4,0,,,,,,,,
,2017,4,28,5,0,,,,,,,,
,2017,4,29,6,0,è∫òaÇÃì˙,,,,,,,
,2017,4,30,0,0,,,,,,,,
,2017,5,1,1,0,,,,,,,,
,2017,5,2,2,0,,,,,,,,
,2017,5,3,3,0,åõñ@ãLîOì˙,,,,,,,
,2017,5,4,4,0,Ç›Ç«ÇËÇÃì˙,,,,,,,
,2017,5,5,5,0,Ç±Ç«Ç‡ÇÃì˙,,,,,,,
,2017,5,6,6,0,,,,,,,,
,2017,5,7,0,0,,,,,,,,
,2017,5,8,1,0,,,,,,,,
,2017,5,9,2,0,,,,,,,,
,2017,5,10,3,0,,,,,,,,
,2017,5,11,4,0,,,,,,,,
,2017,5,12,5,0,,,,,,,,
,2017,5,13,6,0,,,,,,,,
,2017,5,14,0,0,,,,,,,,
,2017,5,15,1,0,,,,,,,,
,2017,5,16,2,0,,,,,,,,
,2017,5,17,3,0,,,,,,,,
,2017,5,18,4,0,,,,,,,,
,2017,5,19,5,0,,,,,,,,
,2017,5,20,6,0,,,,,,,,
,2017,5,21,0,0,,,,,,,,
,2017,5,22,1,0,,,,,,,,
,2017,5,23,2,0,,,,,,,,
,2017,5,24,3,0,,,,,,,,
,2017,5,25,4,0,,,,,,,,
,2017,5,26,5,0,,,,,,,,
,2017,5,27,6,0,,,,,,,,
,2017,5,28,0,0,,,,,,,,
,2017,5,29,1,0,,,,,,,,
,2017,5,30,2,0,,,,,,,,
,2017,5,31,3,0,,,,,,,,
,2017,6,1,4,0,,,,,,,,
,2017,6,2,5,0,,,,,,,,
,2017,6,3,6,0,,,,,,,,
,2017,6,4,0,0,,,,,,,,
,2017,6,5,1,0,,,,,,,,
,2017,6,6,2,0,,,,,,,,
,2017,6,7,3,0,,,,,,,,
,2017,6,8,4,0,,,,,,,,
,2017,6,9,5,0,,,,,,,,
,2017,6,10,6,0,,,,,,,,
,2017,6,11,0,0,,,,,,,,
,2017,6,12,1,0,,,,,,,,
,2017,6,13,2,0,,,,,,,,
,2017,6,14,3,0,,,,,,,,
,2017,6,15,4,0,,,,,,,,
,2017,6,16,5,0,,,,,,,,
,2017,6,17,6,0,,,,,,,,
,2017,6,18,0,0,,,,,,,,
,2017,6,19,1,0,,,,,,,,
,2017,6,20,2,0,,,,,,,,
,2017,6,21,3,0,,,,,,,,
,2017,6,22,4,0,,,,,,,,
,2017,6,23,5,0,,,,,,,,
,2017,6,24,6,0,,,,,,,,
,2017,6,25,0,0,,,,,,,,
,2017,6,26,1,0,,,,,,,,
,2017,6,27,2,0,,,,,,,,
,2017,6,28,3,0,,,,,,,,
,2017,6,29,4,0,,,,,,,,
,2017,6,30,5,0,,,,,,,,
,2017,7,1,6,0,,,,,,,,
,2017,7,2,0,0,,,,,,,,
,2017,7,3,1,0,,,,,,,,
,2017,7,4,2,0,,,,,,,,
,2017,7,5,3,0,,,,,,,,
,2017,7,6,4,0,,,,,,,,
,2017,7,7,5,0,,,,,,,,
,2017,7,8,6,0,,,,,,,,
,2017,7,9,0,0,,,,,,,,
,2017,7,10,1,0,,,,,,,,
,2017,7,11,2,0,,,,,,,,
,2017,7,12,3,0,,,,,,,,
,2017,7,13,4,0,,,,,,,,
,2017,7,14,5,0,,,,,,,,
,2017,7,15,6,0,,,,,,,,
,2017,7,16,0,0,,,,,,,,
,2017,7,17,1,0,äCÇÃì˙,,,,,,,
,2017,7,18,2,0,,,,,,,,
,2017,7,19,3,0,,,,,,,,
,2017,7,20,4,0,,,,,,,,
,2017,7,21,5,0,,,,,,,,
,2017,7,22,6,0,,,,,,,,
,2017,7,23,0,0,,,,,,,,
,2017,7,24,1,0,,,,,,,,
,2017,7,25,2,0,,,,,,,,
,2017,7,26,3,0,,,,,,,,
,2017,7,27,4,0,,,,,,,,
,2017,7,28,5,0,,,,,,,,
,2017,7,29,6,0,,,,,,,,
,2017,7,30,0,0,,,,,,,,
,2017,7,31,1,0,,,,,,,,
,2017,8,1,2,0,,,,,,,,
,2017,8,2,3,0,,,,,,,,
,2017,8,3,4,0,,,,,,,,
,2017,8,4,5,0,,,,,,,,
,2017,8,5,6,0,,,,,,,,
,2017,8,6,0,0,,,,,,,,
,2017,8,7,1,0,,,,,,,,
,2017,8,8,2,0,,,,,,,,
,2017,8,9,3,0,,,,,,,,
,2017,8,10,4,0,,,,,,,,
,2017,8,11,5,0,éRÇÃì˙,,,,,,,
,2017,8,12,6,0,,,,,,,,
,2017,8,13,0,0,,,,,,,,
,2017,8,14,1,0,,,,,,,,
,2017,8,15,2,0,,,,,,,,
,2017,8,16,3,0,,,,,,,,
,2017,8,17,4,0,,,,,,,,
,2017,8,18,5,0,,,,,,,,
,2017,8,19,6,0,,,,,,,,
,2017,8,20,0,0,,,,,,,,
,2017,8,21,1,0,,,,,,,,
,2017,8,22,2,0,,,,,,,,
,2017,8,23,3,0,,,,,,,,
,2017,8,24,4,0,,,,,,,,
,2017,8,25,5,0,,,,,,,,
,2017,8,26,6,0,,,,,,,,
,2017,8,27,0,0,,,,,,,,
,2017,8,28,1,0,,,,,,,,
,2017,8,29,2,0,,,,,,,,
,2017,8,30,3,0,,,,,,,,
,2017,8,31,4,0,,,,,,,,
,2017,9,1,5,0,,,,,,,,
,2017,9,2,6,0,,,,,,,,
,2017,9,3,0,0,,,,,,,,
,2017,9,4,1,0,,,,,,,,
,2017,9,5,2,0,,,,,,,,
,2017,9,6,3,0,,,,,,,,
,2017,9,7,4,0,,,,,,,,
,2017,9,8,5,0,,,,,,,,
,2017,9,9,6,0,,,,,,,,
,2017,9,10,0,0,,,,,,,,
,2017,9,11,1,0,,,,,,,,
,2017,9,12,2,0,,,,,,,,
,2017,9,13,3,0,,,,,,,,
,2017,9,14,4,0,,,,,,,,
,2017,9,15,5,0,,,,,,,,
,2017,9,16,6,0,,,,,,,,
,2017,9,17,0,0,,,,,,,,
,2017,9,18,1,0,åhòVÇÃì˙,,,,,,,
,2017,9,19,2,0,,,,,,,,
,2017,9,20,3,0,,,,,,,,
,2017,9,21,4,0,,,,,,,,
,2017,9,22,5,0,,,,,,,,
,2017,9,23,6,0,èHï™ÇÃì˙,,,,,,,
,2017,9,24,0,0,,,,,,,,
,2017,9,25,1,0,,,,,,,,
,2017,9,26,2,0,,,,,,,,
,2017,9,27,3,0,,,,,,,,
,2017,9,28,4,0,,,,,,,,
,2017,9,29,5,0,,,,,,,,
,2017,9,30,6,0,,,,,,,,
,2017,10,1,0,0,,,,,,,,
,2017,10,2,1,0,,,,,,,,
,2017,10,3,2,0,,,,,,,,
,2017,10,4,3,0,,,,,,,,
,2017,10,5,4,0,,,,,,,,
,2017,10,6,5,0,,,,,,,,
,2017,10,7,6,0,,,,,,,,
,2017,10,8,0,0,,,,,,,,
,2017,10,9,1,0,ëÃàÁÇÃì˙,,,,,,,
,2017,10,10,2,0,,,,,,,,
,2017,10,11,3,0,,,,,,,,
,2017,10,12,4,0,,,,,,,,
,2017,10,13,5,0,,,,,,,,
,2017,10,14,6,0,,,,,,,,
,2017,10,15,0,0,,,,,,,,
,2017,10,16,1,0,,,,,,,,
,2017,10,17,2,0,,,,,,,,
,2017,10,18,3,0,,,,,,,,
,2017,10,19,4,0,,,,,,,,
,2017,10,20,5,0,,,,,,,,
,2017,10,21,6,0,,,,,,,,
,2017,10,22,0,0,,,,,,,,
,2017,10,23,1,0,,,,,,,,
,2017,10,24,2,0,,,,,,,,
,2017,10,25,3,0,,,,,,,,
,2017,10,26,4,0,,,,,,,,
,2017,10,27,5,0,,,,,,,,
,2017,10,28,6,0,,,,,,,,
,2017,10,29,0,0,,,,,,,,
,2017,10,30,1,0,,,,,,,,
,2017,10,31,2,0,,,,,,,,
,2017,11,1,3,0,,,,,,,,
,2017,11,2,4,0,,,,,,,,
,2017,11,3,5,0,ï∂âªÇÃì˙,,,,,,,
,2017,11,4,6,0,,,,,,,,
,2017,11,5,0,0,,,,,,,,
,2017,11,6,1,0,,,,,,,,
,2017,11,7,2,0,,,,,,,,
,2017,11,8,3,0,,,,,,,,
,2017,11,9,4,0,,,,,,,,
,2017,11,10,5,0,,,,,,,,
,2017,11,11,6,0,,,,,,,,
,2017,11,12,0,0,,,,,,,,
,2017,11,13,1,0,,,,,,,,
,2017,11,14,2,0,,,,,,,,
,2017,11,15,3,0,,,,,,,,
,2017,11,16,4,0,,,,,,,,
,2017,11,17,5,0,,,,,,,,
,2017,11,18,6,0,,,,,,,,
,2017,11,19,0,0,,,,,,,,
,2017,11,20,1,0,,,,,,,,
,2017,11,21,2,0,,,,,,,,
,2017,11,22,3,0,,,,,,,,
,2017,11,23,4,0,ãŒòJä¥é”ÇÃì˙,,,,,,,
,2017,11,24,5,0,,,,,,,,
,2017,11,25,6,0,,,,,,,,
,2017,11,26,0,0,,,,,,,,
,2017,11,27,1,0,,,,,,,,
,2017,11,28,2,0,,,,,,,,
,2017,11,29,3,0,,,,,,,,
,2017,11,30,4,0,,,,,,,,
,2017,12,1,5,0,,,,,,,,
,2017,12,2,6,0,,,,,,,,
,2017,12,3,0,0,,,,,,,,
,2017,12,4,1,0,,,,,,,,
,2017,12,5,2,0,,,,,,,,
,2017,12,6,3,0,,,,,,,,
,2017,12,7,4,0,,,,,,,,
,2017,12,8,5,0,,,,,,,,
,2017,12,9,6,0,,,,,,,,
,2017,12,10,0,0,,,,,,,,
,2017,12,11,1,0,,,,,,,,
,2017,12,12,2,0,,,,,,,,
,2017,12,13,3,0,,,,,,,,
,2017,12,14,4,0,,,,,,,,
,2017,12,15,5,0,,,,,,,,
,2017,12,16,6,0,,,,,,,,
,2017,12,17,0,0,,,,,,,,
,2017,12,18,1,0,,,,,,,,
,2017,12,19,2,0,,,,,,,,
,2017,12,20,3,0,,,,,,,,
,2017,12,21,4,0,,,,,,,,
,2017,12,22,5,0,,,,,,,,
,2017,12,23,6,0,ìVçcíaê∂ì˙,,,,,,,
,2017,12,24,0,0,,,,,,,,
,2017,12,25,1,0,,,,,,,,
,2017,12,26,2,0,,,,,,,,
,2017,12,27,3,0,,,,,,,,
,2017,12,28,4,0,,,,,,,,
,2017,12,29,5,0,,,,,,,,
,2017,12,30,6,0,,,,,,,,
,2017,12,31,0,0,,,,,,,,
,2018,1,1,1,0,å≥ì˙,,,,,,,
,2018,1,2,2,0,,,,,,,,
,2018,1,3,3,0,,,,,,,,
,2018,1,4,4,0,,,,,,,,
,2018,1,5,5,0,,,,,,,,
,2018,1,6,6,0,,,,,,,,
,2018,1,7,0,0,,,,,,,,
,2018,1,8,1,0,ê¨êlÇÃì˙,,,,,,,
,2018,1,9,2,0,,,,,,,,
,2018,1,10,3,0,,,,,,,,
,2018,1,11,4,0,,,,,,,,
,2018,1,12,5,0,,,,,,,,
,2018,1,13,6,0,,,,,,,,
,2018,1,14,0,0,,,,,,,,
,2018,1,15,1,0,,,,,,,,
,2018,1,16,2,0,,,,,,,,
,2018,1,17,3,0,,,,,,,,
,2018,1,18,4,0,,,,,,,,
,2018,1,19,5,0,,,,,,,,
,2018,1,20,6,0,,,,,,,,
,2018,1,21,0,0,,,,,,,,
,2018,1,22,1,0,,,,,,,,
,2018,1,23,2,0,,,,,,,,
,2018,1,24,3,0,,,,,,,,
,2018,1,25,4,0,,,,,,,,
,2018,1,26,5,0,,,,,,,,
,2018,1,27,6,0,,,,,,,,
,2018,1,28,0,0,,,,,,,,
,2018,1,29,1,0,,,,,,,,
,2018,1,30,2,0,,,,,,,,
,2018,1,31,3,0,,,,,,,,
,2018,2,1,4,0,,,,,,,,
,2018,2,2,5,0,,,,,,,,
,2018,2,3,6,0,,,,,,,,
,2018,2,4,0,0,,,,,,,,
,2018,2,5,1,0,,,,,,,,
,2018,2,6,2,0,,,,,,,,
,2018,2,7,3,0,,,,,,,,
,2018,2,8,4,0,,,,,,,,
,2018,2,9,5,0,,,,,,,,
,2018,2,10,6,0,,,,,,,,
,2018,2,11,0,0,åöçëãLîOÇÃì˙,,,,,,,
,2018,2,12,1,0,êUë÷ãxì˙,,,,,,,
,2018,2,13,2,0,,,,,,,,
,2018,2,14,3,0,,,,,,,,
,2018,2,15,4,0,,,,,,,,
,2018,2,16,5,0,,,,,,,,
,2018,2,17,6,0,,,,,,,,
,2018,2,18,0,0,,,,,,,,
,2018,2,19,1,0,,,,,,,,
,2018,2,20,2,0,,,,,,,,
,2018,2,21,3,0,,,,,,,,
,2018,2,22,4,0,,,,,,,,
,2018,2,23,5,0,,,,,,,,
,2018,2,24,6,0,,,,,,,,
,2018,2,25,0,0,,,,,,,,
,2018,2,26,1,0,,,,,,,,
,2018,2,27,2,0,,,,,,,,
,2018,2,28,3,0,,,,,,,,
,2018,3,1,4,0,,,,,,,,
,2018,3,2,5,0,,,,,,,,
,2018,3,3,6,0,,,,,,,,
,2018,3,4,0,0,,,,,,,,
,2018,3,5,1,0,,,,,,,,
,2018,3,6,2,0,,,,,,,,
,2018,3,7,3,0,,,,,,,,
,2018,3,8,4,0,,,,,,,,
,2018,3,9,5,0,,,,,,,,
,2018,3,10,6,0,,,,,,,,
,2018,3,11,0,0,,,,,,,,
,2018,3,12,1,0,,,,,,,,
,2018,3,13,2,0,,,,,,,,
,2018,3,14,3,0,,,,,,,,
,2018,3,15,4,0,,,,,,,,
,2018,3,16,5,0,,,,,,,,
,2018,3,17,6,0,,,,,,,,
,2018,3,18,0,0,,,,,,,,
,2018,3,19,1,0,,,,,,,,
,2018,3,20,2,0,,,,,,,,
,2018,3,21,3,0,ètï™ÇÃì˙,,,,,,,
,2018,3,22,4,0,,,,,,,,
,2018,3,23,5,0,,,,,,,,
,2018,3,24,6,0,,,,,,,,
,2018,3,25,0,0,,,,,,,,
,2018,3,26,1,0,,,,,,,,
,2018,3,27,2,0,,,,,,,,
,2018,3,28,3,0,,,,,,,,
,2018,3,29,4,0,,,,,,,,
,2018,3,30,5,0,,,,,,,,
,2018,3,31,6,0,,,,,,,,
